file,original,LZ78,Huffman,LZ78_wins
2.txt.utf-8,23183,0.58,0.58,False
313.txt.utf-8,99005,0.52,0.54,True
8645.txt.utf-8,269185,0.53,0.55,True
3.txt.utf-8,28121,0.59,0.58,False
6.txt.utf-8,26961,0.59,0.58,False
9.txt.utf-8,41876,0.57,0.57,False
5.txt.utf-8,48585,0.55,0.57,True
12.txt.utf-8,196618,0.52,0.55,True
360.txt.utf-8,950283,0.48,0.56,True
876.txt.utf-8,103459,0.57,0.56,False
69.txt.utf-8,257359,0.59,0.49,False
7.txt.utf-8,22298,0.59,0.58,False
345.txt.utf-8,891007,0.48,0.55,True
8.txt.utf-8,24377,0.59,0.58,False
Frankenstein.txt,448965,0.50,0.54,True
4.txt.utf-8,22030,0.59,0.58,False
3210.txt.utf-8,343661,0.35,0.42,True
10.txt.utf-8,4456041,0.40,0.56,True
1.txt.utf-8,118862,0.54,0.56,True
6987.txt.utf-8,482512,0.49,0.57,True
14678.txt.utf-8,87588,0.58,0.57,False
4865.txt.utf-8,155628,0.54,0.55,True
11.txt.utf-8,174392,0.52,0.55,True
pg1513.txt,169486,0.54,0.58,True
